Date,Julian,Lake,Counted.By,Total,UA,UJ,UninfectedMales,UninfectedEphip,APasteuria,JPasteuria,MalePasteuria,EphipPastueria,Brood,EBrood,AMicG,JMicG,MaleMicG,EphipMicG,ASpiro,JSpiro,MaleSpiro,EphipSpiro,AWhiteSpiro,JWhiteSpiro,MaleWhiteSpiro,EWhiteSpiro,AYellowSpiro,AMetsch,JMetsch,MaleMetsch,EphipMetsch,ALarssonia,ASpiderman,JSpiderman,ESpiderman,MaleSpiderman,AMicGPast,JMicGPast,AMicGSpiro,AMetschBrood,AMicGBrood,AMicGMetsch,JMicGMetsch,MMicGMetsch,AMetschPast,JMetschPast,AMicGWhiteSpiro,MaleWhiteSpiroMetsch,APastSpider,MPastSpider,,,,
17-Jul-17,198,Whitmore,KKH,58,34,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Jul-17,198,Woodland,CLS,327,90,235,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Jul-17,199,Bruin,KKH,202,114,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Jul-17,199,CrookedP,CLS,258,116,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jul-17,200,Gosling,KKH,203,104,98,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jul-17,200,Pickerel,KKH,259,130,126,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jul-17,200,Sullivan,KKH,221,102,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jul-17,205,Cedar,MAR,232,102,127,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Jul-17,205,CrookedW,KKH,203,22,127,,,1,2,,,,,38,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jul-17,206,Mill,MAR,176,38,131,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
